Estados;Ano;Floresta;Formação Florestal não Natural ;Agropecuária;Área sem Vegetação;Água e Ambientes Marinhos;Não Observado;Área Total do Território
Rondônia;1987;20503339,21;977080,8353;2001929,776;47720,73868;233200,0608;12,39932266;23763283,02
Rondônia;1988;20302128,32;974820,4553;2202367,057;47886,23714;236070,1372;10,81707273;23763283,02
Rondônia;1989;20149260,52;999427,2628;2339806,51;48656,56295;226120,5597;11,60830099;23763283,02
Rondônia;1990;20092922,28;943493,1422;2394710,733;49346,84082;282798,9432;11,08757756;23763283,02
Rondônia;1991;19940745,84;920908,9204;2544653,005;50151,76835;306814,8715;8,620812524;23763283,02
Rondônia;1992;19711520,64;920465,5532;2772901,298;50556,08285;307831,0088;8,444490857;23763283,02
Rondônia;1993;19467100,99;910565,1743;3016099,386;51109,25692;318399,7668;8,44537868;23763283,02
Rondônia;1994;19155316,38;928865,9629;3329626,849;51646,80751;297819,1954;7,829391309;23763283,02
Rondônia;1995;18750511,28;957158,4888;3736390,441;52704,81748;266508,9481;9,052145013;23763283,02
Rondônia;1996;18364877,46;932599,1269;4123042,639;53821,38803;288933,4401;8,968288116;23763283,02
Rondônia;1997;18104977,86;939545,5054;4385747,225;54567,30417;278436,3374;8,793068457;23763283,02
Rondônia;1998;17867952,18;929200,0848;4626219,106;54789,19903;285113,7393;8,714159802;23763283,02
Rondônia;1999;17576175,95;932219,9244;4918550,959;54300,16054;282028,0215;8,00912887;23763283,02
Rondônia;2000;17330211,85;1008010,5;5177139,455;54903,03229;193005,5938;12,58726262;23763283,02
Rondônia;2001;17062809,03;1000035,404;5447684,656;55426,92531;197312,576;14,4343441;23763283,02
Rondônia;2002;16741704,09;986185,1017;5771649,863;55830,48412;207900,114;13,37344078;23763283,02
Rondônia;2003;16290314,7;971798,3173;6222586,13;56927,28134;221642,6911;13,90662053;23763283,02
Rondônia;2004;15918236,67;979253,2914;6592974,317;58663,44177;214142,8951;12,41001798;23763283,02
Rondônia;2005;15575521,83;980505,2366;6937125,671;58892,53506;211226,1302;11,61627885;23763283,02
