country;state;municipality;municipality - state;geocode;feature_id;class;class_level_0;class_level_1;class_level_2;class_level_3;class_level_4;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;9;Antropic;3. Farming;3.3. Forest Plantation;3.3. Forest Plantation;3.3. Forest Plantation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,609163159;0,609163159;0,609163159
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;11;Natural;2. Non Forest Natural Formation;2.1. Wetland;2.1. Wetland;2.1. Wetland;2311,489741;2092,610725;2113,221027;2111,923418;2132,013699;2107,13431;2093,825242;2111,389843;2107,998723;2106,268245;2117,752566;2091,299002;2102,080151;2108,690388;2091,720403;2175,651759;2192,262819;2207,396736;2237,920951;2228,355759;2192,00646;2209,054688;2231,573618;2222,793446;2199,315902;2199,325169;2205,583879;2190,275367;2212,892837;2197,412446;2191,065761;2162,631388;2140,289928;2122,547564;2122,632626;2138,111299;2163,591085;1863,217271;1401,509851
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;12;Natural;2. Non Forest Natural Formation;2.2. Grassland;2.2. Grassland;2.2. Grassland;985,4997916;984,2881929;1004,378899;967,7458278;974,1829934;953,7415403;947,8229374;970,6953939;927,6429087;925,5590206;926,7823646;925,0406004;922,8610553;932,1680051;901,1942884;900,1460175;889,3579182;882,0492554;881,0050782;877,618441;868,745783;846,3046967;860,9199838;863,0958423;876,5808975;880,4087362;884,4111907;885,7146611;898,935041;901,7164838;902,5820644;886,4875827;883,2674904;873,8730694;868,9975326;879,9600741;892,3168111;711,0070679;727,9829828
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;15;Antropic;3. Farming;3.1. Pasture;3.1. Pasture;3.1. Pasture;21615,04165;23748,94034;26049,88571;29472,74215;31443,15881;32101,8286;33490,4693;37396,72592;40228,44685;45538,39261;51481,35267;57044,0359;60218,69134;63281,82182;68345,38939;70927,56933;73550,67708;75835,95084;79528,21834;80671,72298;78161,92866;75534,61825;74375,07927;74061,35812;73050,60413;71331,61354;71371,15408;70968,58957;69589,36734;67400,81309;64465,54441;63678,40321;62950,76874;62403,12752;61719,97853;61953,32272;62766,94884;64283,21446;66639,82097
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;24;Antropic;4. Non vegetated area;4.2. Urban Area;4.2. Urban Area;4.2. Urban Area;73,33646653;131,9763684;160,0758386;166,6874465;178,8686461;182,0007798;188,4387042;189,656623;193,3975518;197,0513138;198,4431916;199,1391445;201,4879007;205,4024536;214,3624431;215,1454015;220,0168648;223,4964547;224,8014899;224,8014899;225,7587067;226,1937886;226,5418018;227,6728424;228,4559028;229,3255374;230,3694545;236,0236851;238,545746;239,5894322;240,2849269;241,7634214;241,7633683;242,0243285;241,8504572;242,0245379;242,1115488;242,3723014;242,8944798
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;25;Natural/Antropic;4. Non vegetated area;4.4. Other non Vegetated Areas;4.4. Other non Vegetated Areas;4.4. Other non Vegetated Areas;1,652886292;0;0;0;0;0,086991504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54,73431587
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;29;Natural;2. Non Forest Natural Formation;2.4. Rocky Outcrop;2.4. Rocky Outcrop;2.4. Rocky Outcrop;73,28645124;73,28643569;73,02531498;73,02531498;73,02529481;73,28643227;73,37348598;73,46053156;73,19938054;73,19938463;73,19936218;73,28641561;73,37347785;73,28644611;73,19941437;73,11237277;73,02531934;73,11237305;73,11237305;73,11237305;73,2864509;73,19939719;73,11237277;73,11237277;73,11237277;73,11237277;73,19936505;73,11237277;73,02531934;73,02531934;73,11237277;73,11237277;73,11237277;73,11237277;73,11237277;73,11237277;72,93827319;73,46051402;72,59007927
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;33;Natural;5. Water and Marine Environment;5.1. River, Lake and Ocean;5.1. River, Lake and Ocean;5.1. River, Lake and Ocean;585,3987334;632,370145;569,4840801;629,4097496;601,8407451;664,63915;685,6021315;626,0231246;688,91256;719,7965533;689,6175988;728,5034221;709,5486127;694,9342591;766,9634519;451,7497882;451,4052754;470,1104262;476,6369357;477,4106357;475,408783;493,6763385;490,3737943;499,2375565;515,2399797;530,2909417;511,237538;518,7238818;489,75765;532,290359;528,1999847;551,3377124;550,6457846;563,4343363;573,5170749;541,5884282;507,4117368;600,5763508;641,8894069
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;39;Antropic;3. Farming;3.2. Agriculture;3.2.1. Temporary Crop;3.2.1.1. Soybean;0;0;0;0;0;0,870365289;0,870365289;0;0;0;0;0;0;0;0;201,9835633;304,1458764;337,7692943;374,7599445;370,023727;1331,115622;2773,154787;3845,002717;4577,647937;6328,237805;8130,165298;6186,037555;4153,856012;4673,431792;8760,273487;14943,64323;17072,63925;18902,63592;19045,93343;19846,20161;21414,96574;23904,11025;24659,63507;24827,96992
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;41;Antropic;3. Farming;3.2. Agriculture;3.2.1. Temporary Crop;3.2.1.5. Other Temporary Crops;7,046575018;6,524491504;8,525234454;9,569622772;12,00620297;14,9643611;18,53203013;16,44323546;23,05692139;28,4496965;35,58183343;48,10908087;56,63504568;54,28707615;58,54911101;390,0010915;586,768065;711,7027686;909,2275256;1732,282189;4128,332044;5264,670261;5546,134269;5459,381114;4712,090047;4360,629658;6377,238123;8727,679555;9608,691911;7704,300794;5372,188258;5280,665702;4743,36684;5441,988377;5835,739156;4652,035094;2186,201893;1660,863572;1560,303361
