NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
SALA VILA VALE TAUBATE 06,EM FUNCIONAMENTO,07/06/2021,162.0,4.0,,,SIM,NÃO,SIM,TAUBATÉ,12091-000,SP,REGULAR
VILLAGE MALL 01,EM FUNCIONAMENTO,24/04/2021,90.0,2.0,1.0,1.0,SIM,NÃO,SIM,RIO DE JANEIRO,22640-102,RJ,REGULAR
VILLAGE MALL 02,EM FUNCIONAMENTO,24/04/2021,90.0,2.0,1.0,1.0,SIM,NÃO,SIM,RIO DE JANEIRO,22640-102,RJ,REGULAR
VILLAGE MALL 03,EM FUNCIONAMENTO,24/04/2021,90.0,2.0,1.0,1.0,SIM,NÃO,SIM,RIO DE JANEIRO,22640-102,RJ,REGULAR
VILLAGE MALL 04,EM FUNCIONAMENTO,24/04/2021,76.0,2.0,1.0,1.0,SIM,NÃO,SIM,RIO DE JANEIRO,22640-102,RJ,REGULAR
CINEMARK RIOMAR RECIFE 1,EM FUNCIONAMENTO,24/06/2021,102.0,3.0,1.0,1.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 10,EM FUNCIONAMENTO,24/06/2021,161.0,4.0,1.0,1.0,NÃO,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 11,EM FUNCIONAMENTO,24/06/2021,231.0,5.0,3.0,3.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 12,EM FUNCIONAMENTO,24/06/2021,486.0,8.0,5.0,5.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 2,EM FUNCIONAMENTO,24/06/2021,116.0,4.0,1.0,1.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 3,EM FUNCIONAMENTO,24/06/2021,231.0,5.0,3.0,3.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 4,EM FUNCIONAMENTO,24/06/2021,231.0,5.0,3.0,3.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 5,EM FUNCIONAMENTO,24/06/2021,152.0,4.0,1.0,1.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
