CD_ALUNO;NOMEDEP;RegiaoMetropolitana;DE;MUN;TIPOCLASSE;SERIE_ANO;SEXO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie
16816633;ESTADUAL-SE;Interior;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;20;10;16;330;241;360;Adequado;Abaixo do Básico;Adequado
16831001;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;SANTA CRUZ DA ESPERANCA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;9;5;6;252;191;223;Básico;Abaixo do Básico;Abaixo do Básico
16890068;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;CRAVINHOS;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16900216;ESTADUAL-SE;Interior;JAU;PEDERNEIRAS;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16905967;ESTADUAL-SE;Interior;ITARARE;ITARARE;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;12;7;4;265;265;227;Básico;Abaixo do Básico;Abaixo do Básico
16942217;ESTADUAL-SE;Interior;BARRETOS;ALTAIR;0;EM-3ª série;M;MANHÃ;1;7;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16943814;ESTADUAL-SE;Interior;JOSE BONIFACIO;NOVA ALIANCA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;11;7;3;245;250;177;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
16947896;ESTADUAL-SE;Interior;APIAI;RIBEIRAO BRANCO;0;EM-3ª série;M;TARDE;1;9;11;NULL;NULL;9;4;4;210;198;199;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17045388;ESTADUAL-SE;Região Metropolitana de São Paulo;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;0;EM-3ª série;M;NOITE;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17054021;ESTADUAL-SE;Interior;APIAI;ITAOCA;17;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;9;12;7;223;303;232;Abaixo do Básico;Básico;Abaixo do Básico
17065819;ESTADUAL-SE;Interior;TAQUARITINGA;ITAPOLIS;0;EM-3ª série;F;MANHÃ;1;9;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17067433;MUNICIPAL;Interior;ITAPETININGA;ANGATUBA;0;9º Ano EF;F;TARDE;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
