nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p67a,p68,p27,p28,rendacat,escolacat,p64b,p64g,p64h,perfil
193073134,45,45-59,Masculino,Preta,Sudeste,B1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,4,Portal / site,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Ja comecou uma reserva para a aposentadoria,3,5,5,1,5,investidor
193073140,65,60+,Feminino,Branca,Sul,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,1,5,1,1,investidor
193073164,50,45-59,Feminino,Indigena,Sul,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental II completo,6,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,56,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,3,5,1,1,investidor
193073208,28,25-34,Masculino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,Instagram,0,0,Não usou em 2023,0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",2,5,5,1,1,investidor
193073214,23,16-24,Masculino,Branca,Nordeste,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,1,0,Nao,0,Não usou em 2023,0,0,50,Não comecou uma reserva para a aposentadoria e Não pretende comecar,1,5,4,1,1,investidor
193073227,20,16-24,Masculino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,0,0,De vez em quando,b. A emoção de apostar,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,45,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,1,1,investidor
193073259,49,45-59,Feminino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,1,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,4,1,1,investidor
193073280,23,16-24,Feminino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,Raramente,e. Chance de ganhar uma grande quantia de dinheiro,Uma forma de investir seu dinheiro pensando em montar uma reserva para o futuro,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,1,1,investidor
193073328,57,45-59,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,3,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,58,Ja comecou uma reserva para a aposentadoria,9,1,5,1,1,investidor
193073331,32,25-34,Masculino,Branca,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental II completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,3,5,2,5,investidor
