BIOMA,ESTADO,MUNICIPIO,DTIMGANT,DTIMGDEP
Cerrado,BAHIA,Cristópolis,12/01/2024,26/05/2024
Caatinga,BAHIA,Euclides da Cunha,09/01/2023,08/01/2024
Caatinga,BAHIA,Euclides da Cunha,09/01/2023,31/01/2024
Caatinga,BAHIA,Quijingue,21/04/2023,31/01/2024
Caatinga,BAHIA,Jeremoabo,21/01/2023,31/01/2024
Caatinga,BAHIA,Itapicuru,25/10/2023,31/01/2024
Caatinga,BAHIA,Monte Santo,09/01/2023,14/01/2024
Caatinga,BAHIA,Banzaê,09/01/2023,30/01/2024
Caatinga,BAHIA,Ribeira do Amparo,25/01/2023,07/01/2024
Caatinga,BAHIA,Paratinga,13/04/2023,16/01/2024
Caatinga,BAHIA,Jeremoabo,29/09/2023,17/02/2024
Caatinga,BAHIA,Ipirá,19/04/2023,31/01/2024
Caatinga,BAHIA,Feira de Santana,26/08/2023,30/12/2023
Caatinga,BAHIA,Andaraí,14/06/2023,16/03/2024
Caatinga,BAHIA,Piatã,17/07/2023,13/08/2023
Caatinga,BAHIA,Morpará,04/08/2023,06/02/2024
Caatinga,BAHIA,Jeremoabo,27/12/2023,17/02/2024
Caatinga,BAHIA,Angical,01/12/2023,09/12/2023
Caatinga,BAHIA,Carinhanha,27/04/2023,20/01/2024
Caatinga,BAHIA,Nova Itarana,17/06/2023,16/02/2024
Caatinga,BAHIA,Andaraí,14/09/2023,02/03/2024
Caatinga,BAHIA,Contendas do Sincorá,24/08/2023,15/01/2024
Caatinga,BAHIA,Serra Preta,13/01/2023,31/01/2024
Caatinga,BAHIA,Jeremoabo,13/05/2023,12/05/2024
Caatinga,BAHIA,Piritiba,20/04/2023,14/01/2024
Caatinga,BAHIA,Sátiro Dias,26/08/2023,03/02/2024
Caatinga,BAHIA,Coribe,20/05/2023,17/01/2024
Caatinga,BAHIA,Senhor do Bonfim,05/10/2023,21/03/2024
Caatinga,BAHIA,São Félix do Coribe,31/05/2023,13/01/2024
Caatinga,BAHIA,Euclides da Cunha,07/01/2024,15/05/2024
Caatinga,BAHIA,Santa Rita de Cássia,10/01/2023,08/05/2024
Caatinga,BAHIA,Ibotirama,08/07/2023,07/09/2023
Caatinga,BAHIA,Campo Formoso,09/12/2022,31/01/2024
Caatinga,BAHIA,Santa Rita de Cássia,04/08/2023,28/10/2023
Caatinga,BAHIA,Cordeiros,20/05/2023,29/02/2024
Caatinga,BAHIA,Mundo Novo,14/07/2023,16/03/2024
Caatinga,BAHIA,Novo Triunfo,26/08/2023,22/03/2024
Caatinga,BAHIA,Milagres,23/03/2023,10/01/2024
Mata Atlântica,BAHIA,Itagimirim,06/08/2023,09/12/2023
Cerrado,BAHIA,Correntina,30/11/2023,24/05/2024
Caatinga,BAHIA,Novo Triunfo,26/08/2023,31/01/2024
Caatinga,BAHIA,Piatã,22/06/2023,09/09/2023
Caatinga,BAHIA,Ruy Barbosa,23/02/2023,05/03/2024
Cerrado,BAHIA,Correntina,12/08/2023,29/12/2023
Caatinga,BAHIA,Sítio do Quinto,20/04/2023,31/01/2024
Caatinga,BAHIA,Boninal,28/06/2023,18/01/2024
Caatinga,BAHIA,Bonito,14/07/2023,31/01/2024
Caatinga,BAHIA,Piripá,10/08/2023,13/01/2024
Caatinga,BAHIA,Presidente Jânio Quadros,14/06/2023,17/02/2024
Caatinga,BAHIA,Pindobaçu,27/08/2023,16/02/2024
Caatinga,BAHIA,Matina,10/05/2023,20/01/2024
Caatinga,BAHIA,Novo Triunfo,18/02/2023,26/09/2023
Caatinga,BAHIA,Jeremoabo,06/03/2023,22/03/2024
Caatinga,BAHIA,Oliveira dos Brejinhos,05/07/2023,14/04/2024
Caatinga,BAHIA,Mucugê,29/04/2023,26/02/2024
Caatinga,BAHIA,Boa Vista do Tupim,06/02/2023,06/02/2024
Caatinga,BAHIA,Itaberaba,19/04/2023,16/03/2024
Caatinga,BAHIA,Rafael Jambeiro,19/04/2023,17/02/2024
Caatinga,BAHIA,São José do Jacuípe,14/07/2023,20/01/2024
Caatinga,BAHIA,Boa Vista do Tupim,19/04/2023,16/03/2024
Caatinga,BAHIA,Várzea Nova,05/08/2023,03/02/2024
Caatinga,BAHIA,Santa Rita de Cássia,08/12/2023,07/03/2024
Caatinga,BAHIA,Itaberaba,19/04/2023,31/05/2023
Caatinga,BAHIA,Angical,11/10/2023,14/11/2023
Caatinga,BAHIA,Santa Brígida,26/01/2023,29/09/2023
Caatinga,BAHIA,Wanderley,27/08/2023,16/01/2024
Caatinga,BAHIA,Ibotirama,27/10/2023,26/02/2024
Caatinga,BAHIA,Jequié,14/07/2023,02/03/2024
Caatinga,BAHIA,Mundo Novo,19/04/2023,31/01/2024
Cerrado,BAHIA,São Desidério,28/11/2023,14/04/2024
Caatinga,BAHIA,Riacho de Santana,15/04/2023,18/01/2024
Caatinga,BAHIA,Piatã,15/11/2023,27/11/2023
Caatinga,BAHIA,Miguel Calmon,16/04/2023,31/01/2024
Caatinga,BAHIA,Itaeté,03/06/2023,15/02/2024
Caatinga,BAHIA,Jeremoabo,20/10/2023,30/01/2024
Caatinga,BAHIA,Queimadas,02/04/2023,24/01/2024
Caatinga,BAHIA,Saúde,27/08/2023,27/12/2023
Caatinga,BAHIA,Cícero Dantas,26/01/2023,31/01/2024
Caatinga,BAHIA,Xique-Xique,10/09/2023,12/11/2023
Caatinga,BAHIA,Ruy Barbosa,19/04/2023,16/03/2024
Cerrado,BAHIA,São Desidério,16/09/2023,15/04/2024
Caatinga,BAHIA,Jeremoabo,29/09/2023,10/04/2024
Caatinga,BAHIA,Tremedal,20/05/2023,04/03/2024
Caatinga,BAHIA,Planalto,31/05/2023,01/02/2024
Caatinga,BAHIA,Macaúbas,20/05/2023,31/01/2024
Caatinga,BAHIA,Miguel Calmon,16/04/2023,31/01/2024
Caatinga,BAHIA,Santaluz,25/08/2023,31/01/2024
Caatinga,BAHIA,Paratinga,07/04/2023,26/02/2024
Caatinga,BAHIA,Santa Brígida,26/08/2023,11/03/2024
Caatinga,BAHIA,Cipó,15/07/2023,08/01/2024
Caatinga,BAHIA,Boninal,17/03/2023,14/01/2024
Caatinga,BAHIA,Planaltino,11/08/2023,18/01/2024
Caatinga,BAHIA,Itatim,23/03/2023,31/01/2024
Caatinga,BAHIA,Cícero Dantas,06/01/2023,31/01/2024
Caatinga,BAHIA,Lajedinho,19/04/2023,08/03/2024
Caatinga,BAHIA,Monte Santo,13/08/2023,31/01/2024
Caatinga,BAHIA,Canudos,09/01/2023,31/01/2024
Caatinga,BAHIA,Euclides da Cunha,14/07/2023,16/01/2024
Caatinga,BAHIA,Euclides da Cunha,09/01/2023,08/01/2024
Caatinga,BAHIA,Paripiranga,19/01/2023,07/01/2024
Caatinga,BAHIA,Monte Santo,13/08/2023,30/01/2024
Caatinga,BAHIA,Pedro Alexandre,18/10/2023,21/01/2024
Caatinga,BAHIA,Santa Brígida,26/01/2023,21/01/2024
Caatinga,BAHIA,Olindina,14/04/2023,03/02/2024
Caatinga,BAHIA,Quijingue,16/04/2023,31/01/2024
Caatinga,BAHIA,Banzaê,06/01/2023,31/01/2024
Caatinga,BAHIA,Biritinga,17/04/2023,22/01/2024
Caatinga,BAHIA,Pindobaçu,02/10/2023,13/01/2024
Caatinga,BAHIA,Campo Formoso,30/05/2023,22/01/2024
Caatinga,BAHIA,Nova Itarana,17/06/2023,31/01/2024
Caatinga,BAHIA,Boquira,27/04/2023,15/01/2024
Mata Atlântica,BAHIA,Encruzilhada,19/11/2023,23/12/2023
Caatinga,BAHIA,Itaberaba,20/05/2023,16/03/2024
Caatinga,BAHIA,Piatã,15/04/2023,29/06/2023
Caatinga,BAHIA,Carinhanha,31/07/2023,02/02/2024
Caatinga,BAHIA,Quixabeira,15/04/2023,01/01/2024
Caatinga,BAHIA,Piatã,30/01/2023,31/03/2023
Caatinga,BAHIA,Condeúba,05/08/2023,27/12/2023
