CODEALERTA;FONTE;BIOMA;ESTADO;MUNICIPIO;AREAHA;ANODETEC;DATADETEC;DTIMGANT;DTIMGDEP;DTPUBLI;VPRESSAO
1217047;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Jequié;15.600.000.000;20.240.000.000.000;31/01/2024;01/07/2023;24/11/2023;13/03/2024;agriculture
1216886;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Barro Preto;134.500.000.000;20.240.000.000.000;31/01/2024;02/04/2023;25/10/2023;13/03/2024;agriculture
1216607;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Itamaraju;35.000.000.000;20.240.000.000.000;29/02/2024;14/09/2023;24/05/2024;13/03/2024;agriculture
1216464;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Presidente Tancredo Neves;13.700.000.000;20.240.000.000.000;31/01/2024;20/05/2023;31/10/2023;13/03/2024;agriculture
1216392;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Jucuruçu;19.300.000.000;20.240.000.000.000;29/02/2024;20/08/2023;10/11/2023;13/03/2024;agriculture
1216824;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Canavieiras;54.300.000.000;20.240.000.000.000;31/01/2024;21/06/2023;25/08/2023;13/03/2024;agriculture
1216678;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Itarantim;21.300.000.000;20.240.000.000.000;31/01/2024;10/08/2023;14/09/2023;13/03/2024;agriculture
1215909;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Maracás;36.700.000.000;20.240.000.000.000;29/02/2024;19/10/2023;18/11/2023;13/03/2024;agriculture
1215885;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Vitória da Conquista;11.500.000.000;20.240.000.000.000;31/01/2024;19/08/2023;30/12/2023;13/03/2024;agriculture
1215723;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Guaratinga;0.3300000000;20.240.000.000.000;31/01/2024;25/08/2023;27/09/2023;13/03/2024;agriculture
1215980;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Santa Luzia;44.900.000.000;20.240.000.000.000;31/01/2024;10/09/2023;31/01/2024;13/03/2024;agriculture
1215481;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Cândido Sales;43.400.000.000;20.240.000.000.000;29/02/2024;19/07/2023;18/04/2024;13/03/2024;agriculture
1215465;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Iguaí;0.6700000000;20.240.000.000.000;31/01/2024;14/09/2023;03/12/2023;13/03/2024;agriculture
1215172;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Gandu;16.300.000.000;20.240.000.000.000;29/02/2024;14/07/2023;01/12/2023;13/03/2024;agriculture
1215707;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Maiquinique;21.000.000.000;20.240.000.000.000;29/02/2024;27/09/2023;19/11/2023;13/03/2024;agriculture
1215188;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Nova Canaã;12.500.000.000;20.240.000.000.000;31/01/2024;10/09/2023;30/12/2023;13/03/2024;agriculture
1214433;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Belmonte;0.8100000000;20.240.000.000.000;31/01/2024;06/08/2023;11/06/2024;13/03/2024;agriculture
1213326;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Ilhéus;182.000.000.000;20.240.000.000.000;31/01/2024;05/08/2023;07/06/2024;13/03/2024;roads
1214824;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Jitaúna;174.200.000.000;20.240.000.000.000;31/01/2024;16/04/2023;25/10/2023;13/03/2024;agriculture
1223190;{SAD-CAATINGA};Caatinga;BAHIA;Valente;54.100.000.000;20.240.000.000.000;01/01/2024;21/04/2023;31/01/2024;30/04/2024;agriculture
1223173;{SAD-CAATINGA};Caatinga;BAHIA;Mundo Novo;185.100.000.000;20.240.000.000.000;01/02/2024;14/07/2023;09/03/2024;30/04/2024;agriculture
1223171;{SAD-CAATINGA};Caatinga;BAHIA;Caldeirão Grande;33.000.000.000;20.240.000.000.000;01/02/2024;14/07/2023;16/03/2024;30/04/2024;agriculture
1223155;{SAD-CAATINGA};Caatinga;BAHIA;Coração de Maria;17.200.000.000;20.240.000.000.000;01/01/2024;29/04/2023;12/01/2024;30/04/2024;agriculture
1223166;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;23.500.000.000;20.240.000.000.000;01/01/2024;07/03/2023;31/01/2024;30/04/2024;agriculture
1223117;{SAD-CAATINGA};Caatinga;BAHIA;Ibiassucê;304.500.000.000;20.240.000.000.000;01/01/2024;06/02/2023;20/05/2024;30/04/2024;agriculture
1223040;{SAD-CAATINGA};Caatinga;BAHIA;Presidente Jânio Quadros;24.000.000.000;20.240.000.000.000;01/01/2024;03/06/2023;13/01/2024;30/04/2024;agriculture
1223038;{SAD-CAATINGA};Caatinga;BAHIA;Ipirá;90.800.000.000;20.240.000.000.000;01/01/2024;19/04/2023;31/01/2024;30/04/2024;agriculture
1223015;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;89.300.000.000;20.240.000.000.000;01/02/2024;10/12/2023;29/02/2024;30/04/2024;agriculture
